SVCAREAID,ADDR,WGSXPT,WGSYPT,QTY,UPDTDATE
중랑구,면목3.8동 430-40(고정2)_C-MM38-0050-B,37.5839,127.0905,1.0,2022-12-01
중랑구,면목3.8동 42-59 (소파공원옆주차장)_C-MM38-0008,37.5882,127.0953,1.0,2022-12-01
중랑구,면목3.8동 42-3(고정1)_C-MM38-0047-A,37.5888,127.0956,1.0,2022-12-01
중랑구,면목3.8동 430-53(고정1)_C-MM38-0057-A,37.5840,127.0901,1.0,2022-12-01
중랑구,면목3.8동 42-3(고정2)_C-MM38-0047-B,37.5888,127.0956,1.0,2022-12-01
중랑구,면목3.8동 33-2(정진그린빌라앞)_C-MM38-0075,37.5874,127.0997,1.0,2022-12-01
중랑구,면목3.8동 42-1(고정1)_C-MM38-0023-A,37.5892,127.0955,1.0,2022-12-01
중랑구,면목3.8동 42-1(고정2)_C-MM38-0023-B,37.5892,127.0955,1.0,2022-12-01
중랑구,면목3.8동 33-2(고정1)_C-MM38-0075-A,37.5874,127.0997,1.0,2022-12-01
중랑구,면목3.8동 31-48(고정1)_C-MM38-0045-A,37.5877,127.1010,1.0,2022-12-01
중랑구,면목3.8동 31-48(고정2)_C-MM38-0045-B,37.5877,127.1010,1.0,2022-12-01
중랑구,면목3.8동 42-1(고정3)_C-MM38-0023-C,37.5892,127.0955,1.0,2022-12-01
중랑구,면목3.8동 31-48(고정3)_C-MM38-0045-C,37.5877,127.1010,1.0,2022-12-01
중랑구,면목3.8동 31-25(고정3)_C-MM38-0053-C,37.5866,127.1011,1.0,2022-12-01
중랑구,면목3.8동 31-35 (대광사앞삼거리)_C-MM38-0068,37.5872,127.1017,1.0,2022-12-01
중랑구,면목3.8동 31-35(고정1)_C-MM38-0068-A,37.5872,127.1017,1.0,2022-12-01
중랑구,면목3.8동 604-5(고정2)_C-MM38-0054-B,37.5809,127.0878,1.0,2022-12-01
중랑구,면목3.8동 462-25(고정1)_C-MM38-0082-A,37.5821,127.0899,1.0,2022-12-01
중랑구,면목3.8동 42-3 (주택가 골목 삼거리)_C-MM38-0047,37.5888,127.0956,1.0,2022-12-01
중랑구,면목3.8동 31-48 (보라 홈 멘션)_C-MM38-0045,37.5877,127.1010,1.0,2022-12-01
중랑구,면목3.8동 30-38 (이화어린이공원)_C-MM38-0046,37.5870,127.1003,1.0,2022-12-01
중랑구,면목3.8동 30-38 (하나스튜디오앞)_C-MM38-0016,37.5871,127.1003,1.0,2022-12-01
중랑구,면목3.8동 30-38(고정1)_C-MM38-0016-A,37.5871,127.1003,1.0,2022-12-01
중랑구,면목3.8동 30-35(고정3)_C-MM38-0011-C,37.5880,127.1001,1.0,2022-12-01
중랑구,면목3.8동 3-43(고정1)_C-MM38-0003-A,37.5891,127.0992,1.0,2022-12-01
중랑구,면목3.8동 30-35 (우리농수산물)_C-MM38-0011,37.5880,127.1001,1.0,2022-12-01
중랑구,면목3.8동 30-38(고정2)_C-MM38-0016-B,37.5871,127.1003,1.0,2022-12-01
중랑구,면목3.8동 30-35(고정2)_C-MM38-0011-B,37.5880,127.1001,1.0,2022-12-01
중랑구,면목3.8동 23-70 (소파공원 맞은편 닭발쭈꾸미앞)_C-MM38-0028,37.5897,127.0960,1.0,2022-12-01
중랑구,면목3.8동 23-70 (고정1)_C-MM38-0028-A,37.5897,127.0960,1.0,2022-12-01
중랑구,면목3.8동 23-70(고정3)_C-MM38-0028-C,37.5897,127.0960,1.0,2022-12-01
중랑구,면목3.8동 23-10(고정2)_C-MM38-0031-B,37.5893,127.0946,1.0,2022-12-01
중랑구,면목3.8동 20-26(보조1)_C-MM38-0008-2,37.5881,127.0955,1.0,2022-12-01
중랑구,면목3.8동 23-70(고정4)_C-MM38-0028-D,37.5897,127.0960,1.0,2022-12-01
중랑구,면목3.8동 23-10(고정1)_C-MM38-0031-A,37.5893,127.0946,1.0,2022-12-01
중랑구,면목3.8동 2-47 (주택가 골목길)_C-MM38-0002,37.5889,127.0998,1.0,2022-12-01
중랑구,면목3.8동 2-47(고정1)_C-MM38-0002-A,37.5889,127.0998,1.0,2022-12-01
중랑구,면목3.8동 2-50 (행운마트)_C-MM38-0043,37.5884,127.0998,1.0,2022-12-01
중랑구,면목3.8동 19-4(고정3)_P-MM38-0911-C,37.5879,127.0962,1.0,2022-12-01
중랑구,면목3.8동 17-2 (이레어린이집)_M-JN00-0003,37.5901,127.0980,1.0,2022-12-01
중랑구,면목3.8동 19-4(고정1)_P-MM38-0911-A,37.5879,127.0962,1.0,2022-12-01
중랑구,면목3.8동 2-50(고정1)_C-MM38-0043-A,37.5884,127.0998,1.0,2022-12-01
중랑구,면목3.8동 19-4(고정2)_P-MM38-0911-B,37.5879,127.0962,1.0,2022-12-01
중랑구,면목3.8동 1509(보조1)_C-MM38-0013-1,37.5822,127.0839,1.0,2022-12-01
중랑구,면목3.8동 1509(보조2)_C-MM38-0013-2,37.5822,127.0839,1.0,2022-12-01
중랑구,면목3.8동 1509(보조3)_C-MM38-0013-3,37.5822,127.0839,1.0,2022-12-01
중랑구,면목3.8동 1509(고정2)_C-MM38-0077-B,37.5822,127.0840,1.0,2022-12-01
중랑구,면목3.8동 31-25 (아토피치유공원)_C-MM38-0053,37.5866,127.1011,1.0,2022-12-01
중랑구,면목3.8동 1509(중랑구 보훈회관 앞)_C-MM38-0077,37.5822,127.0840,1.0,2022-12-01
중랑구,면목3.8동 1509(고정1)_C-MM38-0077-A,37.5822,127.0840,1.0,2022-12-01
중랑구,면목3.8동 14-50(고정2)_C-MM38-0044-B,37.5877,127.0974,1.0,2022-12-01
중랑구,면목3.8동 14-50(고정3)_C-MM38-0044-C,37.5877,127.0974,1.0,2022-12-01
중랑구,면목2동 186-149(고정2)_C-MM02-0038-B,37.5919,127.0744,1.0,2022-12-01
