관리번호,위도,경도,지역구
올_20A-66,37.521835,126.913902,영등포구
올_20A-67,37.522149,126.913693,영등포구
올_20A-68,37.522464,126.91347,영등포구
올_20A-69,37.522757,126.913265,영등포구
올_20A-70,37.523102,126.913022,영등포구
올_21-01,37.517378,126.921206,영등포구
올_21-02,37.517155,126.921799,영등포구
올_21-03,37.516935,126.922384,영등포구
올_21-04,37.516703,126.922992,영등포구
올_21-05,37.516463,126.923647,영등포구
올_21-06,37.516242,126.924272,영등포구
올_21-07,37.516049,126.924897,영등포구
올_21-08,37.515894,126.925521,영등포구
올_21-09,37.515778,126.92618,영등포구
올_21-10,37.515665,126.926846,영등포구
올_21-11,37.515573,126.927465,동작구
올_21-12,37.516698,126.922571,영등포구
올_21-13,37.516463,126.923199,영등포구
올_21-14,37.516237,126.923815,영등포구
올_21-15,37.516003,126.924479,영등포구
올_21-16,37.515828,126.925128,영등포구
올_21-17,37.515679,126.925805,영등포구
올_21-18,37.515569,126.926445,영등포구
올_21-19,37.515472,126.92713,영등포구
올_21-20,37.515428,126.927416,동작구
올_21-21,37.515413,126.927589,동작구
올_21-22,37.516543,126.922341,영등포구
올_21-23,37.516349,126.922844,영등포구
올_21-24,37.516169,126.923325,영등포구
올_21-25,37.515981,126.923828,영등포구
올_21-26,37.515787,126.924336,영등포구
올_21-27,37.515632,126.924847,영등포구
올_21-28,37.515484,126.925332,영등포구
올_21-29,37.515347,126.92589,영등포구
올_21-30,37.515239,126.926393,영등포구
올_21-31,37.515146,126.926942,영등포구
올_21-32,37.515113,126.927263,동작구
올_21-33,37.516452,126.92203,영등포구
올_21-34,37.516266,126.922523,영등포구
올_21-35,37.516081,126.923012,영등포구
올_21-36,37.515893,126.923498,영등포구
올_21-37,37.515714,126.924006,영등포구
올_21-38,37.515514,126.924537,영등포구
올_21-39,37.515358,126.925048,영등포구
올_21-40,37.515213,126.925591,영등포구
올_21-41,37.515092,126.926138,영등포구
올_21-42,37.514989,126.926676,영등포구
올_21-43,37.51494,126.927055,동작구
올_21-44,37.514915,126.927277,동작구
올_21-45,37.517617,126.920575,영등포구
올_21-46,37.517827,126.920008,영등포구
